ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
7,"Two Or More",2020,"2020",44007,741,"Pend Oreille County, WA","05000US53051","pend-oreille-county-wa"
7,"Two Or More",2020,"2020",67736,2320,"Pierce County, WA","05000US53053","pierce-county-wa"
7,"Two Or More",2020,"2020",71635,18124,"San Juan County, WA","05000US53055","san-juan-county-wa"
7,"Two Or More",2020,"2020",79821,11274,"Skagit County, WA","05000US53057","skagit-county-wa"
7,"Two Or More",2020,"2020",51406,23783,"Skamania County, WA","05000US53059","skamania-county-wa"
7,"Two Or More",2020,"2020",79777,5969,"Snohomish County, WA","05000US53061","snohomish-county-wa"
7,"Two Or More",2020,"2020",59952,5687,"Spokane County, WA","05000US53063","spokane-county-wa"
7,"Two Or More",2020,"2020",34700,7024,"Stevens County, WA","05000US53065","stevens-county-wa"
7,"Two Or More",2020,"2020",67875,6634,"Thurston County, WA","05000US53067","thurston-county-wa"
7,"Two Or More",2020,"2020",95078,74730,"Wahkiakum County, WA","05000US53069","wahkiakum-county-wa"
7,"Two Or More",2020,"2020",45156,9720,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
7,"Two Or More",2020,"2020",49283,9912,"Whatcom County, WA","05000US53073","whatcom-county-wa"
7,"Two Or More",2020,"2020",32060,12893,"Whitman County, WA","05000US53075","whitman-county-wa"
7,"Two Or More",2020,"2020",58750,8792,"Yakima County, WA","05000US53077","yakima-county-wa"
8,"White Non-Hispanic",2020,"2020",59375,7903,"Adams County, WA","05000US53001","adams-county-wa"
8,"White Non-Hispanic",2020,"2020",55088,3499,"Asotin County, WA","05000US53003","asotin-county-wa"
8,"White Non-Hispanic",2020,"2020",77596,2595,"Benton County, WA","05000US53005","benton-county-wa"
8,"White Non-Hispanic",2020,"2020",65070,3442,"Chelan County, WA","05000US53007","chelan-county-wa"
8,"White Non-Hispanic",2020,"2020",58117,2139,"Clallam County, WA","05000US53009","clallam-county-wa"
8,"White Non-Hispanic",2020,"2020",80034,1933,"Clark County, WA","05000US53011","clark-county-wa"
8,"White Non-Hispanic",2020,"2020",59401,5401,"Columbia County, WA","05000US53013","columbia-county-wa"
8,"White Non-Hispanic",2020,"2020",59867,2900,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
8,"White Non-Hispanic",2020,"2020",69591,4260,"Douglas County, WA","05000US53017","douglas-county-wa"
8,"White Non-Hispanic",2020,"2020",42623,5488,"Ferry County, WA","05000US53019","ferry-county-wa"
8,"White Non-Hispanic",2020,"2020",80233,6186,"Franklin County, WA","05000US53021","franklin-county-wa"
8,"White Non-Hispanic",2020,"2020",58250,8388,"Garfield County, WA","05000US53023","garfield-county-wa"
8,"White Non-Hispanic",2020,"2020",64970,3823.9999999999995,"Grant County, WA","05000US53025","grant-county-wa"
8,"White Non-Hispanic",2020,"2020",51524,2511,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
8,"White Non-Hispanic",2020,"2020",71302,2195,"Island County, WA","05000US53029","island-county-wa"
8,"White Non-Hispanic",2020,"2020",60423,3468.9999999999995,"Jefferson County, WA","05000US53031","jefferson-county-wa"
8,"White Non-Hispanic",2020,"2020",105122,1132,"King County, WA","05000US53033","king-county-wa"
8,"White Non-Hispanic",2020,"2020",81854,1723,"Kitsap County, WA","05000US53035","kitsap-county-wa"
8,"White Non-Hispanic",2020,"2020",62252,3956.0000000000005,"Kittitas County, WA","05000US53037","kittitas-county-wa"
8,"White Non-Hispanic",2020,"2020",58242,4984,"Klickitat County, WA","05000US53039","klickitat-county-wa"
8,"White Non-Hispanic",2020,"2020",55029,2564,"Lewis County, WA","05000US53041","lewis-county-wa"
8,"White Non-Hispanic",2020,"2020",59137,3016,"Lincoln County, WA","05000US53043","lincoln-county-wa"
8,"White Non-Hispanic",2020,"2020",62833,3632.0000000000005,"Mason County, WA","05000US53045","mason-county-wa"
8,"White Non-Hispanic",2020,"2020",50160,2282,"Okanogan County, WA","05000US53047","okanogan-county-wa"
8,"White Non-Hispanic",2020,"2020",51266,2288,"Pacific County, WA","05000US53049","pacific-county-wa"
8,"White Non-Hispanic",2020,"2020",56250,4906,"Pend Oreille County, WA","05000US53051","pend-oreille-county-wa"
8,"White Non-Hispanic",2020,"2020",81361,946.0000000000001,"Pierce County, WA","05000US53053","pierce-county-wa"
8,"White Non-Hispanic",2020,"2020",65920,2404,"San Juan County, WA","05000US53055","san-juan-county-wa"
8,"White Non-Hispanic",2020,"2020",71792,1728,"Skagit County, WA","05000US53057","skagit-county-wa"
8,"White Non-Hispanic",2020,"2020",68094,5848,"Skamania County, WA","05000US53059","skamania-county-wa"
8,"White Non-Hispanic",2020,"2020",90518,1334,"Snohomish County, WA","05000US53061","snohomish-county-wa"
8,"White Non-Hispanic",2020,"2020",61266,952,"Spokane County, WA","05000US53063","spokane-county-wa"
8,"White Non-Hispanic",2020,"2020",55774,3382.9999999999995,"Stevens County, WA","05000US53065","stevens-county-wa"
8,"White Non-Hispanic",2020,"2020",78168,1512,"Thurston County, WA","05000US53067","thurston-county-wa"
8,"White Non-Hispanic",2020,"2020",55280,6827,"Wahkiakum County, WA","05000US53069","wahkiakum-county-wa"
8,"White Non-Hispanic",2020,"2020",63559,2390,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
8,"White Non-Hispanic",2020,"2020",67445,2361,"Whatcom County, WA","05000US53073","whatcom-county-wa"
8,"White Non-Hispanic",2020,"2020",45264,3973,"Whitman County, WA","05000US53075","whitman-county-wa"
8,"White Non-Hispanic",2020,"2020",59952,2427,"Yakima County, WA","05000US53077","yakima-county-wa"
9,"Hispanic",2020,"2020",47889,6311,"Adams County, WA","05000US53001","adams-county-wa"
9,"Hispanic",2020,"2020",28984,12686,"Asotin County, WA","05000US53003","asotin-county-wa"
9,"Hispanic",2020,"2020",51859,3391,"Benton County, WA","05000US53005","benton-county-wa"
